"hotel","lugar","num_turistas"
"Sheraton_Gran_Canaria_Salobre_Golf_Resort","Playa_de_Maspalomas",74
"Sheraton_Gran_Canaria_Salobre_Golf_Resort","Camaleon",49
"Sheraton_Gran_Canaria_Salobre_Golf_Resort","Salobre_Golf_and_Resort",29
"Sheraton_Gran_Canaria_Salobre_Golf_Resort","Palmitos_Park",28
"Sheraton_Gran_Canaria_Salobre_Golf_Resort","El_Faro_de_Maspalomas",26
"Sol_Barbacan_Hotel","Lounge_El_Portalon",26
"Sol_Barbacan_Hotel","Yumbo_Centrum",16
"Sunprime_Atlantic_View_Suites_Spa","Dunas_de_Maspalomas",20
"Sunprime_Atlantic_View_Suites_Spa","Palmitos_Park",18
"Sunprime_Atlantic_View_Suites_Spa","Tango_Tapas",18
"Tabaiba_Princess","Playa_de_Maspalomas",52
"Tabaiba_Princess","Palmitos_Park",42
"Tabaiba_Princess","El_Faro_de_Maspalomas",28
"Tabaiba_Princess","Moonlight_Cinema",19
"Tabaiba_Princess","Aqualand_Maspalomas",17
"Tisalaya_Park","Playa_de_Maspalomas",18
"Tisalaya_Park","Holiday_World_Maspalomas",17
"Turbo_Club","Holiday_World_Maspalomas",43
"Turbo_Club","Playa_de_Maspalomas",32
"Turbo_Club","Palmitos_Park",31
"Turbo_Club","Aqualand_Maspalomas",24
